"iter","p0","tau_label","model","model_label","elbo","sigma","gamma"
1,0.15,"tau = 0.15","direct_regression","Direct regression",NA,NA,NA
2,0.15,"tau = 0.15","direct_regression","Direct regression",NA,NA,NA
3,0.15,"tau = 0.15","direct_regression","Direct regression",NA,NA,NA
4,0.15,"tau = 0.15","direct_regression","Direct regression",NA,NA,NA
5,0.15,"tau = 0.15","direct_regression","Direct regression",10555.9739452399,0.0949371604309512,0.347737369885946
6,0.15,"tau = 0.15","direct_regression","Direct regression",10568.8795192417,0.0949337701685026,0.425687829288064
7,0.15,"tau = 0.15","direct_regression","Direct regression",NA,0.0950152369015694,0.499096956727656
1,0.15,"tau = 0.15","transfer_function","Transfer function",NA,NA,NA
2,0.15,"tau = 0.15","transfer_function","Transfer function",NA,NA,NA
3,0.15,"tau = 0.15","transfer_function","Transfer function",NA,NA,NA
4,0.15,"tau = 0.15","transfer_function","Transfer function",NA,NA,NA
5,0.15,"tau = 0.15","transfer_function","Transfer function",19608.9727772678,0.113516666859317,0.325940020178185
6,0.15,"tau = 0.15","transfer_function","Transfer function",19599.4634584837,0.11486584200059,0.403627817694062
7,0.15,"tau = 0.15","transfer_function","Transfer function",NA,0.1157450759512,0.477220138878717
1,0.5,"tau = 0.50","direct_regression","Direct regression",NA,NA,NA
2,0.5,"tau = 0.50","direct_regression","Direct regression",NA,NA,NA
3,0.5,"tau = 0.50","direct_regression","Direct regression",NA,NA,NA
4,0.5,"tau = 0.50","direct_regression","Direct regression",NA,NA,NA
5,0.5,"tau = 0.50","direct_regression","Direct regression",10152.5810122315,0.0878157407350547,-0.000485203865703032
6,0.5,"tau = 0.50","direct_regression","Direct regression",10163.0519632743,0.0873808896070917,-0.000528713913623358
7,0.5,"tau = 0.50","direct_regression","Direct regression",NA,0.0872282918706633,-0.000543634378283311
1,0.5,"tau = 0.50","transfer_function","Transfer function",NA,NA,NA
2,0.5,"tau = 0.50","transfer_function","Transfer function",NA,NA,NA
3,0.5,"tau = 0.50","transfer_function","Transfer function",NA,NA,NA
4,0.5,"tau = 0.50","transfer_function","Transfer function",NA,NA,NA
5,0.5,"tau = 0.50","transfer_function","Transfer function",19279.5042521839,0.10529805370343,-0.00507126258245568
6,0.5,"tau = 0.50","transfer_function","Transfer function",19285.9247036837,0.105596398254847,-0.00659109694325682
7,0.5,"tau = 0.50","transfer_function","Transfer function",NA,0.105950837221116,-0.00785431907455599
