"date","period_label","state","state_label","p0","tau_label","estimate","lower","upper"
1997-01-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.608201149295896,-43.8158990279598,42.599496729368
1997-02-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-2.65834022416177,-53.1080555806609,47.7913751323374
1997-03-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-3.21045796708194,-62.4351548912202,56.0142389570563
1997-04-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-2.83387519594879,-69.65335927392,63.9856088820224
1997-05-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-2.28767012166596,-74.9825821090001,70.4072418656682
1997-06-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-1.86781131732953,-79.4092705621043,75.6736479274452
1997-07-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-1.69654424150496,-82.3933838278393,79.0002953448293
1997-08-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-1.42915398163375,-77.1628252528184,74.3045172895509
1997-09-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-1.12011590101616,-69.1192430007917,66.8790111987594
1997-10-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.804910513706197,-60.7959689104056,59.1861478829932
1997-11-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.364269127130135,-54.0908321510268,53.3622938967665
1997-12-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.27628935104976,-50.00120258167,49.4486238795705
1998-01-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.0781390164020993,-47.3489250834914,47.1926470506872
1998-02-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.215242464755203,-50.7143323638333,50.2838474343229
1998-03-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-2.07419588075653,-73.0484359417971,68.9000441802841
1998-04-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-1.64428533527929,-96.30697474734,93.0184040767814
1998-05-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.948847725258207,-115.799425214557,113.901729764041
1998-06-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.274052748915442,-130.284303179965,129.736197682134
1998-07-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.312891518612347,-140.89248640243,140.266703365205
1998-08-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.364832467365456,-147.475252639329,146.745587704598
1998-09-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.332322908755129,-138.660847417539,137.996201600028
1998-10-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.230626271776339,-131.170175794357,130.708923250805
1998-11-01,"1997-1999 comparison window","zeta","Transfer state zeta",0.15,"tau = 0.15",-0.00664872613046848,-122.319387291743,122.306089839482
