"date","period_label","component","component_label","p0","tau_label","estimate","lower","upper"
1997-01-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.99689579753211,2.73619629778203,7.37669455532899
1997-02-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.41340803810539,2.82296229666041,5.82730121951607
1997-03-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.31629691608601,2.14115352784695,6.29987225445171
1997-04-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.26321402451473,1.7253159756999,5.94890090832808
1997-05-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.49555111518234,2.74530102310365,6.11301132025194
1997-06-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.76267255749552,2.65499424845931,6.51797016060021
1997-07-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.59356494839663,1.96636531593018,7.31894869377526
1997-08-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.80057790592101,2.22516207486541,7.28532216257354
1997-09-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.46242692216436,2.33274141893933,6.67804010177124
1997-10-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.35348456585645,2.2047870449742,7.17446689995809
1997-11-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.61143814271745,2.79541033158018,6.34252857541929
1997-12-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.33993146605041,1.72893392528596,5.993325456712
1998-01-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.73409633384377,2.62498253876821,6.75487668732887
1998-02-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.55915534419455,3.22605169617017,6.30565027885827
1998-03-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.73303732458971,2.73460264036487,6.64592063522709
1998-04-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",5.08395937972172,2.65769324701525,7.58131508673346
1998-05-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.52376479580274,1.69090858136194,6.95638972963374
1998-06-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.58509295342489,2.7054862780872,7.00399027394039
1998-07-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.64059607785711,3.16907438084829,6.98049791698176
1998-08-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.97188682274401,2.03604663416619,6.94053856680009
1998-09-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.44328822309523,2.07931553361496,6.30028226368552
1998-10-01,"1997-1999 comparison window","trend","Trend component",0.15,"tau = 0.15",4.74934942472549,2.00426817178656,6.40683190299221
