"x","cdf","gamma","gamma_label","p0"
-8,0.0506807756424792,-1.01769180900079,"gamma = -1.018",0.6
-7.98666666666667,0.0509824342723281,-1.01769180900079,"gamma = -1.018",0.6
-7.97333333333333,0.0512855883851788,-1.01769180900079,"gamma = -1.018",0.6
-7.96,0.0515902432741872,-1.01769180900079,"gamma = -1.018",0.6
-7.94666666666667,0.0518964042371135,-1.01769180900079,"gamma = -1.018",0.6
-7.93333333333333,0.0522040765762279,-1.01769180900079,"gamma = -1.018",0.6
-7.92,0.0525132655982088,-1.01769180900079,"gamma = -1.018",0.6
-7.90666666666667,0.0528239766140453,-1.01769180900079,"gamma = -1.018",0.6
-7.89333333333333,0.0531362149389356,-1.01769180900079,"gamma = -1.018",0.6
-7.88,0.0534499858921867,-1.01769180900079,"gamma = -1.018",0.6
-7.86666666666667,0.0537652947971121,-1.01769180900079,"gamma = -1.018",0.6
-7.85333333333333,0.0540821469809302,-1.01769180900079,"gamma = -1.018",0.6
-7.84,0.0544005477746601,-1.01769180900079,"gamma = -1.018",0.6
-7.82666666666667,0.0547205025130195,-1.01769180900079,"gamma = -1.018",0.6
-7.81333333333333,0.0550420165343175,-1.01769180900079,"gamma = -1.018",0.6
-7.8,0.0553650951803517,-1.01769180900079,"gamma = -1.018",0.6
-7.78666666666667,0.0556897437963008,-1.01769180900079,"gamma = -1.018",0.6
-7.77333333333333,0.0560159677306188,-1.01769180900079,"gamma = -1.018",0.6
-7.76,0.0563437723349265,-1.01769180900079,"gamma = -1.018",0.6
-7.74666666666667,0.0566731629639043,-1.01769180900079,"gamma = -1.018",0.6
-7.73333333333333,0.0570041449751828,-1.01769180900079,"gamma = -1.018",0.6
-7.72,0.0573367237292334,-1.01769180900079,"gamma = -1.018",0.6
-7.70666666666667,0.0576709045892578,-1.01769180900079,"gamma = -1.018",0.6
-7.69333333333333,0.0580066929210767,-1.01769180900079,"gamma = -1.018",0.6
-7.68,0.0583440940930193,-1.01769180900079,"gamma = -1.018",0.6
-7.66666666666667,0.0586831134758085,-1.01769180900079,"gamma = -1.018",0.6
-7.65333333333333,0.0590237564424496,-1.01769180900079,"gamma = -1.018",0.6
-7.64,0.0593660283681159,-1.01769180900079,"gamma = -1.018",0.6
-7.62666666666667,0.0597099346300338,-1.01769180900079,"gamma = -1.018",0.6
-7.61333333333333,0.0600554806073671,-1.01769180900079,"gamma = -1.018",0.6
