"case_label","p0","gamma","mu","sigma","prob","sample_q","theory_q","abs_error"
"samp_A",0.12,0.2,3,0.7,0.05,2.28607345825758,2.2875896692276,0.00151621097002019
"samp_A",0.12,0.2,3,0.7,0.06,2.44756233328418,2.43595337867737,0.0116089546068077
"samp_A",0.12,0.2,3,0.7,0.12,2.99283647676726,3,0.00716352323273739
"samp_A",0.12,0.2,3,0.7,0.18,3.36128753121584,3.37050956487656,0.00922203366071184
"samp_A",0.12,0.2,3,0.7,0.24,3.77821622996725,3.75112544000149,0.0270907899657615
"samp_B",0.8,0.2,-2,1.6,0.68,-5.8739798845012,-5.81723976135254,0.0567401231486571
"samp_B",0.8,0.2,-2,1.6,0.74,-3.86443608257735,-3.83115816116333,0.0332779214140206
"samp_B",0.8,0.2,-2,1.6,0.8,-2.03329510250217,-2,0.0332951025021702
"samp_B",0.8,0.2,-2,1.6,0.86,-0.137380504961145,-0.214687824249268,0.0773073192881225
"samp_B",0.8,0.2,-2,1.6,0.92,2.0603349878438,1.96048927307129,0.0998457147725134
"samp_C",0.35,0,0,1.2,0.23,-0.799666726557112,-0.775114791803564,0.0245519347535479
"samp_C",0.35,0,0,1.2,0.29,-0.38101306003025,-0.347173350466966,0.0338397095632844
"samp_C",0.35,0,0,1.2,0.35,-0.0285760780945265,0,0.0285760780945265
"samp_C",0.35,0,0,1.2,0.41,0.291346874765652,0.332056546251146,0.0407096714854935
"samp_C",0.35,0,0,1.2,0.47,0.676865676795602,0.699755507463481,0.0228898306678788
