"lambda","transfer_zeta_df","transfer_psi_df","selection_metric","selection_value","KL","KL_flipped","CRPS","PPLC","runtime","iter","converged","status","error_message","seed","selected"
0.1,0.99,0.99,"PPLC",279570.937605724,0.355993758897306,0.35317660890584,414.909052483301,279570.937605724,170.13,220,FALSE,"ok","",20264002,FALSE
0.2,0.99,0.99,"PPLC",277299.894768559,0.371751122664281,0.362409228834297,411.933077078985,277299.894768559,169.337,220,FALSE,"ok","",20264003,FALSE
0.3,0.99,0.99,"PPLC",276937.050418757,0.354825851913953,0.363735120026419,411.594402340645,276937.050418757,169.03,220,FALSE,"ok","",20264004,FALSE
0.4,0.99,0.99,"PPLC",275745.305633621,0.342161539154999,0.309021514205243,410.053980670652,275745.305633621,168.781,220,FALSE,"ok","",20264005,FALSE
0.5,0.99,0.99,"PPLC",276496.059137446,0.318496119813209,0.291979934040331,411.556912336966,276496.059137446,171.88,220,FALSE,"ok","",20264006,FALSE
0.6,0.99,0.99,"PPLC",276360.971560681,0.285638465414592,0.25853555665793,410.712162113505,276360.971560681,172.928,220,FALSE,"ok","",20264007,FALSE
0.7,0.99,0.99,"PPLC",279271.49084579,0.291039212273317,0.230145154980477,415.123119537764,279271.49084579,172.106,220,FALSE,"ok","",20264008,FALSE
0.8,0.99,0.99,"PPLC",298495.074052078,0.306811154850422,0.269425743622242,441.242117267046,298495.074052078,167.98,220,FALSE,"ok","",20264009,FALSE
0.9,0.99,0.99,"PPLC",338461.289880904,0.363456571800421,0.310756108837117,497.796714445912,338461.289880904,167.245,220,FALSE,"ok","",20264010,FALSE
0.1,0.99,1,"PPLC",267138.2717821,0.380926202739478,0.356632094660041,396.521010716032,267138.2717821,167.189,220,FALSE,"ok","",20264011,FALSE
0.2,0.99,1,"PPLC",266870.774287276,0.361250502433837,0.335165439873687,397.126107960531,266870.774287276,167.153,220,FALSE,"ok","",20264012,TRUE
0.3,0.99,1,"PPLC",267773.163728134,0.351406193291713,0.314764338400435,398.439100638854,267773.163728134,165.959,220,FALSE,"ok","",20264013,FALSE
0.4,0.99,1,"PPLC",270145.347549435,0.379759844457446,0.374655964689276,401.930808900319,270145.347549435,165.841,220,FALSE,"ok","",20264014,FALSE
0.5,0.99,1,"PPLC",270794.193759076,0.351822859651417,0.300162126998381,402.707961009711,270794.193759076,164.68,220,FALSE,"ok","",20264015,FALSE
0.6,0.99,1,"PPLC",271518.20722558,0.342195390831588,0.305874162603996,404.266335842581,271518.20722558,163.778,220,FALSE,"ok","",20264016,FALSE
0.7,0.99,1,"PPLC",273813.055232698,0.326757841743268,0.303976503977206,406.20327523957,273813.055232698,163.71,220,FALSE,"ok","",20264017,FALSE
0.8,0.99,1,"PPLC",293005.10104676,0.322596834747773,0.305935124730114,433.608052191516,293005.10104676,164.072,220,FALSE,"ok","",20264018,FALSE
0.9,0.99,1,"PPLC",330902.667908681,0.348764799562536,0.285176862211192,485.911440104455,330902.667908681,163.242,220,FALSE,"ok","",20264019,FALSE
